business_id,score,date
54982,97,20150831
54982,97,20150316
67299,95,20160108
67299,89,20151221
67299,97,20150629
30881,100,20160225
30881,100,20150818
30881,100,20150408
65666,98,20160204
65666,97,20150731
47306,100,20160128
47306,99,20150818
47306,99,20150203
65030,88,20151201
65030,97,20151201
65030,98,20150629
75078,94,20151014
75078,96,20150504
48036,99,20160106
48036,99,20150724
70805,100,20151109
70805,100,20150331
74017,100,20151006
74017,100,20150410
38961,100,20151111
38961,100,20150508
98082,100,20160119
98082,100,20150811
93825,100,20160106
93825,100,20150727
93826,99,20160106
93826,100,20150724
32192,100,20151015
32192,100,20150915
76417,100,20151012
76417,96,20150408
76417,100,20150408
62322,100,20151005
62322,95,20150406
62322,99,20150406
64094,100,20151030
64094,100,20150516
64094,100,20150414
30889,100,20160216
30889,99,20150724
30678,99,20150925
30678,98,20150408
95975,97,20160322
95975,97,20150818
95975,92,20150225
95975,99,20150225
37650,100,20160217
37650,81,20160204
37650,90,20150831
37650,94,20150831
37650,96,20150202
30893,92,20151210
30893,96,20151210
30893,99,20150629
55047,98,20151113
55047,97,20150603
79522,98,20151209
79522,97,20150630
96133,95,20151106
96133,100,20151106
96133,93,20150520
96133,98,20150520
90794,100,20150929
90794,100,20150828
89981,100,20160229
89981,100,20150720
44583,84,20151217
44583,89,20151217
44583,92,20150624
30875,100,20151027
30875,100,20150527
30896,99,20151104
69882,100,20151013
69882,97,20150827
69882,98,20150213
81292,89,20160203
81292,98,20160203
81292,96,20150826
81292,97,20150206
30898,100,20160211
30898,100,20150811
30898,100,20150302
67108,95,20151228
67108,97,20150612
67108,80,20150601
32453,98,20151110
32453,100,20150722
32453,100,20150601
91129,100,20160316
91129,100,20150925
91129,100,20150227
83911,100,20151112
86782,100,20151117
30899,96,20151204
30899,82,20150625
30899,95,20150625
52855,100,20151118
52855,100,20150610
62511,94,20160315
62511,99,20150811
62511,99,20150205
60151,83,20160304
60151,92,20160304
60151,98,20150828
60151,100,20150304
60151,92,20150205
92043,100,20151223
92043,100,20150625
31022,89,20160310
31022,96,20151027
31022,98,20150401
52351,94,20160205
52351,99,20151204
52351,88,20151130
52351,73,20151111
52351,99,20150625
52351,90,20150611
54377,92,20160323
54377,98,20151029
54377,96,20150609
70478,97,20151117
70478,98,20150619
35287,99,20151102
35287,100,20150512
95866,100,20151105
95866,99,20150514
96623,100,20150904
96623,100,20150316
96623,100,20150210
70890,98,20150929
70890,92,20150323
70400,100,20160321
70400,100,20151015
70400,100,20150511
71759,99,20151130
71759,98,20150630
50717,94,20160311
50717,97,20150922
50717,94,20150226
74490,91,20151112
74490,92,20150528
89212,94,20151023
89212,98,20151023
89212,98,20150327
53562,96,20151012
53562,99,20151012
53562,100,20150423
30906,100,20160128
30906,100,20150818
30906,100,20150203
67304,99,20160129
67304,99,20150813
67304,98,20150225
46762,100,20151102
46762,100,20150518
73484,99,20160129
73484,99,20150813
73484,94,20150225
45621,100,20150924
45621,100,20150304
32256,99,20151021
32256,99,20150422
30907,99,20150706
30907,95,20150622
38576,99,20150622
56360,100,20160314
56360,100,20150921
56360,100,20150303
49981,97,20150716
39214,83,20151104
39214,97,20151104
39214,98,20150529
39214,82,20150520
39214,91,20150520
74489,100,20160115
74489,100,20150707
62183,90,20160225
62183,93,20160225
62183,98,20150918
62183,95,20150908
62183,95,20150824
62183,95,20150810
62183,98,20150810
52206,98,20160210
52206,98,20151008
52206,93,20150924
52206,99,20150312
30941,100,20151022
30941,100,20150422
30944,98,20151110
30944,100,20150520
31984,99,20160217
31984,86,20150818
31984,95,20150818
31984,95,20150304
96527,95,20151217
96527,95,20150630
96527,100,20150630
90866,100,20151228
90866,99,20150831
90866,98,20150630
31107,97,20151217
31107,89,20150622
31107,94,20150622
31312,95,20151106
49627,100,20150929
49627,100,20150415
49627,96,20150402
78924,100,20151124
78924,100,20150616
93252,94,20151201
93252,98,20151201
93252,100,20150611
30909,100,20160208
30909,100,20150923
30909,100,20150408
92402,100,20151118
92402,100,20150424
82113,98,20160204
82113,97,20150917
82113,92,20150302
82113,97,20150302
66548,99,20151209
66548,99,20150515
76795,93,20160210
76795,98,20151001
76795,96,20150403
85947,97,20160303
85947,94,20150824
85947,98,20150317
75004,97,20160209
75004,98,20150911
32996,100,20151020
32996,100,20150519
73758,96,20150922
73758,94,20150311
54656,100,20151229
54656,94,20150624
54656,99,20150624
30915,96,20151230
30915,96,20150629
30956,95,20160105
30956,85,20150714
30956,93,20150714
32044,99,20160304
32044,99,20150831
32044,99,20150304
71625,96,20160219
71625,100,20150827
71625,100,20150223
71992,97,20151117
71992,98,20150520
96283,100,20151110
96283,99,20150429
47138,98,20151105
47138,97,20150507
69336,96,20160128
69336,99,20160128
69336,96,20150720
91170,99,20151113
91170,99,20150903
30925,100,20160217
30925,100,20150721
99455,100,20160318
62888,100,20151121
62888,95,20150926
62888,100,20150926
95896,100,20160108
95896,100,20150728
45419,99,20151210
45419,100,20150512
32300,99,20160309
32300,96,20151013
32300,97,20150330
44228,99,20151007
44228,100,20150409
94406,100,20151209
94406,100,20150611
66680,100,20160211
66680,100,20150803
66680,100,20150219
66680,92,20150205
91928,95,20151123
91928,99,20151123
91928,96,20150615
91928,94,20150602
73631,92,20151031
73631,97,20150529
59608,100,20151218
94033,98,20151202
